,Year,Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables (% electricity),Fossil fuels (% electricity),Low-carbon electricity (% electricity),Nuclear (% electricity).1,Renewables (% electricity)
26,1991,66.81632125042107,4.167477607204315,23.06666383276109,0.0,0.0352339870183032,4.195250389461236,1.6893855790465344,0.0296673606405715,75.17904924708662,24.820950759466506,1.6893855790465344,23.13156518041997
27,1992,68.04382039710991,4.8221384758260815,20.780085468100808,0.0,0.0262402873020256,4.392956880640922,1.899346738363595,0.0354117502838523,77.25891575357691,22.741084244050285,1.899346738363595,20.841737505686684
28,1993,69.79585194563299,4.936270654329493,19.529855087176923,0.0,0.0261668178717309,3.9229518657967017,1.7193105790585612,0.0695930639390286,78.65507446575918,21.34492554804623,1.7193105790585612,19.625614968987676
29,1994,68.20399956203595,5.640170660924119,20.67498352402972,0.0,0.0493031644283687,4.05885053457509,1.2746725379277823,0.0980200122126938,77.90302075753515,22.09697923859856,1.2746725379277823,20.82230670067077
30,1995,69.36505922626506,6.890807558981968,17.773871128510805,0.0002364752193427,0.1162288247879247,3.939142759646349,1.7826637146762982,0.1319903226813406,80.19500954489341,19.804990465875715,1.7826637146762982,18.02232675119941
31,1996,70.44904930562096,7.2255435185252255,15.581385596574068,0.0013674485511377,0.1981880126093613,4.478284653874865,1.8955723805892304,0.1706090735018597,82.15287747802105,17.84712251182566,1.8955723805892304,15.951550131236427
32,1997,69.4499703982522,8.564147110679517,14.96546453590849,0.0012918171523399,0.2105920342803794,4.452486846237697,2.146805166320604,0.2092420854137346,82.46660435516941,17.533395639075547,2.146805166320604,15.38659047275494
33,1998,66.62014845234229,9.934100725729229,16.55836412710859,0.0011999336415138,0.2136301880032254,4.165293693430823,2.2513565260542383,0.2559063505222718,80.71954287150234,19.28045712532984,2.2513565260542383,17.029100599275598
34,1999,66.76307264392457,10.780607695041937,15.026505960735369,0.0011072381446934,0.2641759515841759,4.531183921985292,2.325309610817143,0.3080369841611398,82.07486426095181,17.925135745442518,2.325309610817143,15.599826134625376
35,2000,71.91803948340215,8.874060069160498,15.164044927661791,0.0014399434932733,0.3464092632389064,0.5266906843487056,2.8922293593462136,0.2770862693484601,81.31879023691134,18.68120976308865,2.8922293593462136,15.788980403742435
36,2001,71.96397258487465,8.830851558921038,14.353695648100157,0.0023608052052796,0.4408803720859712,0.4627472661646657,3.5874363085141634,0.3580554561340774,81.25757140996035,18.742428590039648,3.5874363085141634,15.15499228152548
37,2002,73.56792524860406,8.633546632020895,13.035015313642726,0.0026941789974311,0.5170899261498193,0.4718781041814967,3.41775849959836,0.3540920968052354,82.67334998480644,17.326650015193568,3.41775849959836,13.908891515595217
38,2003,71.84462865821155,9.161925323016046,14.530553939955082,0.0030879743103137,0.6521075161191933,0.4957533178025162,2.973537615284456,0.3384056553008515,81.50230729903011,18.497692700969893,2.973537615284456,15.524155085685448
39,2004,70.69784015276439,9.952045688993412,15.272004359000476,0.0032382300804737,0.7652448979645803,0.4230002041975515,2.563996491086669,0.3226299759124611,81.07288604595534,18.92711395404466,2.563996491086669,16.363117462957995
40,2005,69.6892000582898,9.84017415931883,15.834660037599653,0.0030887613111252,1.0734258388084066,0.362041841596225,2.884794145113127,0.3126151579628299,79.89141605920486,20.108583940795143,2.884794145113127,17.223789795682016
41,2006,69.05634902671527,9.286378392910514,17.022064373460825,0.0028771236371349,1.3159054950896054,0.3217184508288289,2.699574823211731,0.2951323141461037,78.66444587045461,21.335554129545407,2.699574823211731,18.635979306333677
42,2007,67.65778455223085,9.66616919199425,17.644740581233815,0.0085047440471332,1.7003722166098918,0.4671727979192379,2.570419064487957,0.2848368514768689,77.79112654214434,22.208873457855667,2.570419064487957,19.638454393367702
