,Year,Entity,Code,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Solar Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Wind Consumption - EJ,Geo Biomass Other - EJ,Biofuels (TWh)
44,2009,India,IND,1825.098716391922,491.08124066249496,3266.0752929446166,0.1967594166666666,278.9734434717845,44.11655689815563,42.68629958111096,30.54230838444438,0.2189999999999999
45,2010,India,IND,1866.3136285589865,589.6166925992572,3377.142919987425,0.2946321375460131,283.53545037112326,60.18346379090419,50.72991788451546,37.27226908159503,0.113
46,2011,India,IND,1953.5029092065492,602.8592530749777,3542.843795400353,2.1431419584146343,341.3079190064835,83.5064768661036,62.0715588035487,44.40994406451211,0.8190000000000001
47,2012,India,IND,2069.5759453940154,556.9913639367736,3837.760633876384,5.4065194767272615,298.21211356950005,85.35992737879616,70.65978380050903,51.35034411054549,0.637
48,2013,India,IND,2083.451819921592,490.1934104183342,4102.856007386292,8.789314260361449,337.9086046640175,85.27718870362388,76.82623615973476,57.54914242481933,0.75
49,2014,India,IND,2144.122795395225,485.01605561121465,4507.1405250384805,12.492974066227536,353.7333627020332,88.27216343204536,85.1397836806347,62.79825383137732,0.644
50,2015,India,IND,2316.802119105685,478.0687575401502,4597.026459139364,16.611391265292855,337.1733537470228,96.90898228902854,82.82796209565001,65.31344510785706,1.168
51,2016,India,IND,2540.9752662216706,507.91022491519095,4682.362883068977,29.06091969842133,322.85342934477865,95.30459103651128,109.27495576308996,62.40927736274,1.919
52,2017,India,IND,2635.233951411403,537.3558781300003,4849.172938659746,53.86149308916001,339.62520226888057,93.5361998289,131.5624802499,62.52022530032272,1.181
53,2018,India,IND,2763.9843504899977,580.9140479833666,5154.910704337571,90.2971877347685,347.0392149482081,97.055910978,149.89627781166328,65.10549711879602,1.3019999999999998
54,2019,India,IND,2843.9305901923467,596.8089685422983,5172.2228654792325,114.56893320452936,400.7697613727888,111.8331822790737,156.77986560313582,62.77426639751823,1.295
